Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Year,Month,Weekday,Total Markdown
1,05-02-2010,42.31,2.57,0,0,0,0,0,211.1,8.11,FALSE,2010,February,Friday,0
1,12-02-2010,38.51,2.55,0,0,0,0,0,211.24,8.11,TRUE,2010,February,Friday,0
1,19-02-2010,39.93,2.51,0,0,0,0,0,211.29,8.11,FALSE,2010,February,Friday,0
1,26-02-2010,46.63,2.56,0,0,0,0,0,211.32,8.11,FALSE,2010,February,Friday,0
1,05-03-2010,46.5,2.63,0,0,0,0,0,211.35,8.11,FALSE,2010,March,Friday,0
1,12-03-2010,57.79,2.67,0,0,0,0,0,211.38,8.11,FALSE,2010,March,Friday,0
1,19-03-2010,54.58,2.72,0,0,0,0,0,211.22,8.11,FALSE,2010,March,Friday,0
1,26-03-2010,51.45,2.73,0,0,0,0,0,211.02,8.11,FALSE,2010,March,Friday,0
1,02-04-2010,62.27,2.72,0,0,0,0,0,210.82,7.81,FALSE,2010,April,Friday,0
1,09-04-2010,65.86,2.77,0,0,0,0,0,210.62,7.81,FALSE,2010,April,Friday,0
1,16-04-2010,66.32,2.81,0,0,0,0,0,210.49,7.81,FALSE,2010,April,Friday,0
1,23-04-2010,64.84,2.8,0,0,0,0,0,210.44,7.81,FALSE,2010,April,Friday,0
1,30-04-2010,67.41,2.78,0,0,0,0,0,210.39,7.81,FALSE,2010,April,Friday,0
1,07-05-2010,72.55,2.84,0,0,0,0,0,210.34,7.81,FALSE,2010,May,Friday,0
1,14-05-2010,74.78,2.85,0,0,0,0,0,210.34,7.81,FALSE,2010,May,Friday,0
1,21-05-2010,76.44,2.83,0,0,0,0,0,210.62,7.81,FALSE,2010,May,Friday,0
1,28-05-2010,80.44,2.76,0,0,0,0,0,210.9,7.81,FALSE,2010,May,Friday,0
1,04-06-2010,80.69,2.71,0,0,0,0,0,211.18,7.81,FALSE,2010,June,Friday,0
1,11-06-2010,80.43,2.67,0,0,0,0,0,211.46,7.81,FALSE,2010,June,Friday,0
1,18-06-2010,84.11,2.64,0,0,0,0,0,211.45,7.81,FALSE,2010,June,Friday,0
1,25-06-2010,84.34,2.65,0,0,0,0,0,211.34,7.81,FALSE,2010,June,Friday,0
1,02-07-2010,80.91,2.67,0,0,0,0,0,211.22,7.79,FALSE,2010,July,Friday,0
1,09-07-2010,80.48,2.64,0,0,0,0,0,211.11,7.79,FALSE,2010,July,Friday,0
1,16-07-2010,83.15,2.62,0,0,0,0,0,211.1,7.79,FALSE,2010,July,Friday,0
1,23-07-2010,83.36,2.61,0,0,0,0,0,211.24,7.79,FALSE,2010,July,Friday,0
